gene,mis_z,lof_z,syn_z,oe_mis,oe_lof,label
CCR4,0.74648,1.6302,-1.7364,0.84887,0.37664,0.06863
SRD5A3,0.76027,1.6435,0.80437,0.8326,0.53945,0.00024941
HEXA,-0.40903,1.6798,0.32455,1.0691,0.68106,1.3405e-11
APBB3,0.81355,1.6658,0.024992,0.86798,0.66395,5.0783e-10
GNB5,1.5049,1.6592,0.12794,0.72162,0.63236,6.3614e-08
CASP9,0.026941,1.6488,0.23177,0.99511,0.58845,7.3826e-06
GSKIP,0.98272,1.6217,-0.84593,0.68305,0.2059,0.3822
PSTK,-0.13753,1.6498,0.13304,1.0282,0.58828,7.3998e-06
GPR155,1.6123,1.6891,0.69942,0.78776,0.718,6.0431e-16
USP6,-0.1425,1.7388,-0.49533,1.0144,0.78989,2.9469000000000003e-35
KIAA0895,1.549,1.6574,1.7773,0.74054,0.63267,6.3286e-08
TRPV5,-0.19279,1.6812,-1.5286,1.026,0.70652,2.6365e-14
WDR53,0.3798,1.6357,-0.56907,0.92219,0.49368,0.0024918
CLGN,0.78856,1.6673,0.16923,0.87376,0.68298,1.2813e-11
PZP,0.36617,1.7323,-0.98969,0.96322,0.79204,6.8173e-36
SLC52A2,-0.84528,1.6329,-3.1256,1.1471,0.49424,0.0024777
ZNF394,0.21125,1.6478,-0.85601,0.9668,0.60179,2.2429e-06
TTC9,0.48877,1.6262,0.59174,0.85759,0.37749,0.06817
SLC35C1,1.1638,1.6296,-1.1022,0.77952,0.42606,0.023545
NPHP1,0.22572,1.6868,0.77666,0.96748,0.72937,1.241e-17
TMC1,0.85843,1.689,-0.25559,0.87894,0.73573,9.1808e-19
NUFIP1,-0.16774,1.6554,-1.2437,1.0293,0.63302,6.2929e-08
PAFAH1B3,1.0591,1.6337,0.16563,0.75526,0.49408,0.0024816
ERI2,1.5023,1.6625,2.8462,0.76995,0.66449,5.0234e-10
UROC1,-0.50918,1.6806,-0.69831,1.0681,0.71519,2.0787e-15
TNNT3,0.46321,1.6522,-0.64433,0.89202,0.62368,2.0758e-07
SNAPC4,-1.0756,1.7138,-4.5102,1.1028,0.77619,2.6507e-29
SNCB,0.95189,1.6253,-0.27949,0.6862,0.37769,0.068062
ZNF619,0.11205,1.6404,0.35518,0.98236,0.57537,2.3629e-05
GUCA2B,0.32161,1.6184,-0.75997,0.89064,0.20644,0.38097
ARHGEF10,-2.7213,1.7165,-5.5356,1.2713,0.77771,6.7739e-30
TSTD1,0.82254,1.6187,0.37538,0.73074,0.2064,0.38107
EIF2B1,1.3799,1.637,-0.61412,0.69647,0.55954,7.615e-05
EXOSC4,0.55696,1.6249,0.73369,0.87073,0.37777,0.068017
ZYG11A,1.221,1.6621,1.9622,0.82006,0.68378,1.2573e-11
GDF2,0.45761,1.6305,-2.0826,0.9201,0.49474,0.0024656
GPR6,0.99406,1.6257,-0.35173,0.81661,0.3776,0.068111
CCR2,0.033856,1.6265,-0.38361,0.9932,0.42671,0.023412
CLDN15,0.66625,1.625,-0.22285,0.83978,0.42702,0.023349
DUOXA1,0.72109,1.6353,-0.19124,0.87963,0.55985,7.5867e-05
HLA-DMB,1.5868,1.63,0.18356,0.62562,0.49485,0.0024627
RFC2,1.1542,1.6411,-0.46118,0.77409,0.603,2.2054e-06
CAGE1,0.88624,1.6662,-0.78153,0.87341,0.7041,8.7071e-14
RECQL5,-0.004548,1.677,0.21547,1.0005,0.73408,3.1723e-18
TIMELESS,0.065551,1.7189,-0.37907,0.99297,0.79055,9.8476e-35
GPAA1,0.86831,1.6488,-0.43148,0.87315,0.65165,5.4966e-09
SRBD1,-1.8501,1.6863,-3.863,1.2285,0.74517,1.6921e-20
ABCB6,-0.13886,1.6785,-1.5525,1.0175,0.73714,8.599900000000001e-19
OR52E8,-1.23,1.6179,-2.1055,1.2649,0.20653,0.38077
CHRND,0.054016,1.6457,-0.058362,0.9912,0.65215,5.4466e-09
SEC23B,0.47301,1.6787,0.29124,0.93483,0.74324,6.0973e-20
SOD1,0.83817,1.6197,-1.2733,0.74712,0.31088,0.1773
KLHL26,1.3139,1.6389,-0.78038,0.826,0.6034,2.193e-06
RFXAP,1.0361,1.6233,0.19293,0.74676,0.42738,0.023275
MASP1,-0.16024,1.6556,-1.547,1.0228,0.68479,1.2276e-11
SPTLC1,1.1296,1.6539,-0.29979,0.80254,0.67906,4.1945e-11
CATSPER3,-0.32848,1.6317,0.85895,1.0621,0.56054,7.5245e-05
SLC22A4,0.85249,1.6448,-1.1131,0.86163,0.64392,1.8253e-08
DPY30,1.4653,1.6183,-1.345,0.41816,0.31116,0.17695
SLC6A13,0.0232,1.6529,-0.96088,0.99648,0.6852,1.2157e-11
EMID1,0.51112,1.6417,-1.4817,0.90762,0.63537,6.0551e-08
GRIN3B,-1.0335,1.6426,-1.6947,1.1226,0.62536,2.0223e-07
RSAD1,-0.37198,1.6353,-0.17505,1.0659,0.60406,2.1726e-06
MROH7,-0.081281,1.6789,0.3775,1.0083,0.76163,4.8111e-24
BEND6,0.71165,1.6259,0.55545,0.8292,0.52122,0.00076917
ZNF783,0.25282,1.6354,-1.0677,0.9604,0.60405,2.1732e-06
FAM3D,0.20518,1.6282,-1.2489,0.95081,0.54245,0.00024114
SHARPIN,-0.043864,1.6313,-1.9204,1.0085,0.5771,2.312e-05
AGPAT5,-1.6638,1.6317,-3.5238,1.3341,0.59163,7.0782e-06
TRAF3IP2,1.6331,1.6461,0.77978,0.74179,0.65988,1.615e-09
PATL2,1.4833,1.6516,1.2259,0.74995,0.6854,1.21e-11
IQCH,0.77189,1.6775,1.2496,0.9079,0.75182,1.0865e-21
TBX19,0.56361,1.6336,-0.56678,0.90033,0.59129,7.1102e-06
TMEM174,-0.11736,1.6169,-0.62368,1.0284,0.31145,0.17659
SFTPD,0.57845,1.6299,1.0592,0.88867,0.5609,7.4927e-05
CELA1,0.70448,1.6249,-0.20165,0.83888,0.54311,0.00023937
IGFBP4,0.85353,1.6182,1.38,0.80124,0.42847,0.023057
STK32A,0.57798,1.6352,-0.58832,0.8882,0.62665,1.9819e-07
CCKBR,0.65634,1.6294,1.1543,0.89483,0.60513,2.1404e-06
MROH9,0.010882,1.6553,-0.39764,0.99851,0.72273,5.0853e-16
CHRNA9,-0.10174,1.6294,-0.37929,1.0174,0.59206,7.0378e-06
SLC14A2,-0.13756,1.6603,-0.29831,1.0169,0.73298,1.0646e-17
TCHH,-6.6018,1.6763,-5.2607,1.6061,0.76194,4.7135e-24
CBLN1,1.684,1.6156,0.90139,0.54738,0.3117,0.17628
ANXA11,-0.24859,1.6421,-0.019213,1.0405,0.66779,4.7001e-10
PCDH12,0.78393,1.6495,1.0204,0.91537,0.70177,2.8508e-13
THAP9,1.4435,1.6499,0.92495,0.80995,0.69665,9.9922e-13
BBS1,0.15597,1.6446,-0.028992,0.97631,0.69212,3.4063e-12
GNAT2,0.66306,1.6246,0.021658,0.86336,0.59296,6.9544e-06
MAP7D3,-0.11114,1.6359,1.2856,1.0171,0.66879,4.6062e-10
SIGLEC5,-0.24314,1.6263,0.63509,1.0404,0.60571,2.1234e-06
SMTNL2,0.66784,1.6222,-0.58973,0.87137,0.54365,0.00023793
TOM1L1,0.29757,1.6355,1.7011,0.94696,0.66886,4.5993e-10
GALNT5,0.47793,1.6447,-0.38023,0.9389,0.70726,7.9311e-14
EXOC3L4,0.69131,1.6329,1.1357,0.90207,0.6543,5.2374e-09
CRYGS,0.2428,1.6175,1.1071,0.9346,0.42862,0.023028
GAA,-0.63308,1.6573,-0.90084,1.0726,0.73674,2.8174e-18
KNSTRN,-0.46269,1.6282,-1.1013,1.1007,0.60536,2.1336e-06
RRP7A,-0.35135,1.6229,-0.36613,1.0783,0.54351,0.00023832
CLTCL1,0.7766,1.6822,0.76535,0.92739,0.80012,2.5101e-37
PTN,1.1776,1.6164,0.48026,0.64935,0.46695,0.0075073
CENPU,-0.462,1.6262,-0.33505,1.0891,0.63805,5.7948e-08
ABHD5,0.47432,1.6261,-1.9754,0.90163,0.61754,6.4201e-07
PTGER2,0.39273,1.6152,-1.286,0.92355,0.4672,0.0074901
DNAI2,0.42282,1.6381,-0.37086,0.93716,0.69843,9.5317e-13
NT5C1B,0.23967,1.6316,1.4196,0.9655,0.66949,4.541e-10
MTMR7,-1.6109,1.6422,-2.7058,1.2335,0.71219,2.21e-14
TMEM255A,0.27418,1.618,0.67801,0.93458,0.49731,0.0024035
ZNF679,-1.1909,1.6123,-1.9875,1.2346,0.31237,0.17547
SVOPL,-0.33426,1.6295,-0.95672,1.0537,0.65486,5.1844e-09
CCDC7,0.34642,1.6358,-0.84693,0.9348,0.69348,3.2918e-12
NPHP4,-0.24249,1.6669,-1.5658,1.0229,0.78155,1.7430000000000002e-29
OR9I1,-0.51884,1.6099,-0.76203,1.112,0.20789,0.37773
ARHGEF5,1.4654,1.6346,2.5568,0.8005,0.70875,7.5872e-14
LRRFIP2,0.71279,1.6564,0.95822,0.8981,0.7689,2.5833000000000004e-25
MTRR,-0.66527,1.6391,-1.3846,1.0953,0.71263,2.1794e-14
SIGLEC5,-0.16519,1.6214,0.76003,1.0274,0.60661,2.0969e-06
SPINT2,0.99743,1.6149,0.47701,0.77284,0.52344,0.00075147
RASL11B,1.0278,1.6141,-1.9448,0.75676,0.46743,0.0074739
DDX47,0.39455,1.6279,0.62057,0.9322,0.67682,1.3136e-10
KLK11,0.67708,1.6166,-0.80408,0.85092,0.5231,0.00075409
NDUFB8,-0.11324,1.6141,0.39062,1.0294,0.46743,0.0074738
CYP27B1,0.065547,1.6235,-1.6698,0.989,0.62872,1.9194e-07
VSIG1,0.45554,1.6151,-0.43873,0.90129,0.4979,0.0023894
HLA-DMA,0.8791,1.6134,0.4855,0.79518,0.49826,0.002381
PTPN18,0.33231,1.6227,0.49747,0.94155,0.66374,1.5e-09
BPNT1,1.3582,1.6157,0.38854,0.70567,0.58007,2.2279e-05
PNLDC1,0.79729,1.6333,-1.1476,0.87043,0.71348,2.1216e-14
C6orf47,0.7316,1.6105,0.89006,0.84151,0.3808,0.066412
DEPDC1B,0.85151,1.6236,-0.34688,0.85818,0.67079,4.4233e-10
ABHD6,0.76259,1.6163,0.42318,0.84716,0.57994,2.2313e-05
GLI4,-0.67858,1.6117,-1.0215,1.1317,0.49862,0.0023726
MUC19,0.48742,1.661,0.0095013,0.94641,0.7891,6.2216e-32
ASS1,0.75759,1.6247,-1.1051,0.86361,0.66341,1.5095e-09
CEBPD,0.317,1.6041,0.0084621,0.90932,0.0,0.61219
DTNBP1,-0.24422,1.6177,-1.7496,1.0502,0.59424,6.8375e-06
PRX,-0.13102,1.6345,-0.011297,1.0126,0.7133,2.1337e-14
TEPP,0.097246,1.6106,-0.51748,0.97917,0.54596,0.0002319
CEP290,0.47455,1.6878,0.13343,0.95758,0.83664,1.0549e-60
CCDC183,-0.13943,1.6212,-0.55778,1.0221,0.66398,1.493e-09
EOGT,-0.088187,1.6201,-0.8935,1.0159,0.65644,5.038e-09
NWD1,0.16198,1.6453,0.3834,0.98443,0.77447,1.49e-26
TMED3,0.30307,1.6078,-0.040412,0.92512,0.43068,0.022622
FMOD,-0.084367,1.6086,0.38702,1.0158,0.49926,0.0023576
ECSIT,0.18438,1.6133,1.198,0.96846,0.59506,6.764e-06
RSPH1,0.13798,1.6133,-0.24708,0.97193,0.60809,2.054e-06
METTL7B,-0.1717,1.6088,-0.081329,1.0417,0.38116,0.066221
TSPAN6,0.59223,1.6075,-0.47468,0.81482,0.38144,0.066079
HORMAD2,0.62676,1.6086,-0.14284,0.85578,0.56504,7.1353e-05
PCDHA7,-1.1837,1.6164,-2.8138,1.1405,0.65707,4.98e-09
MUS81,0.056511,1.6198,0.429,0.9913,0.70122,8.8469e-13
CRYAA,0.34778,1.6061,-0.64891,0.90976,0.31364,0.17396
SLC2A6,0.80536,1.6101,-0.31572,0.87104,0.59567,6.7106e-06
GIMAP8,0.20406,1.6096,-1.2262,0.97002,0.56485,7.1512e-05
OGN,1.135,1.6085,0.092576,0.74604,0.52475,0.00074118
ZNF823,1.8172,1.6064,-0.085166,0.71745,0.20848,0.3764
CD300LG,-0.18108,1.6052,0.068541,1.0368,0.52542,0.00073606
DNAAF3,0.41196,1.6104,0.50639,0.93707,0.64081,5.5391e-08
PRMT7,0.68281,1.618,-0.73432,0.90687,0.72001,5.5036e-15
GORAB,-0.17953,1.6066,-1.085,1.0344,0.59632,6.6537e-06
CMTM5,-0.040374,1.6048,0.75468,1.0115,0.38201,0.065782
ANKRD63,1.5606,1.6042,-0.62864,0.61311,0.20885,0.37559
AIFM3,0.99755,1.6148,0.12203,0.85675,0.71618,1.9474e-14
TSPAN32,-0.32864,1.6044,-0.20313,1.0681,0.58224,2.1686e-05
CCNG1,0.7614,1.6027,0.31257,0.8226,0.52592,0.00073222
ZNF597,-0.54126,1.6027,-0.77256,1.0998,0.38245,0.065558
PIGG,-0.16814,1.615,-0.60017,1.0199,0.72044,5.4258e-15
ACTR8,1.2321,1.6144,0.53203,0.81464,0.72052,5.4097e-15
NKAIN4,-0.062307,1.603,0.69237,1.0169,0.46977,0.0073144
AAAS,-0.36262,1.6123,0.23922,1.0591,0.70734,2.4356e-13
FAM120AOS,0.74059,1.6005,1.1489,0.83138,0.43224,0.022322
SEPSECS,0.021401,1.6031,2.097,0.99633,0.65104,1.6143e-08
TSPAN33,1.3644,1.6007,0.98992,0.69137,0.56659,7.0071e-05
CEACAM5,0.18595,1.6053,-2.1778,0.97316,0.67378,4.1625e-10
SLC31A1,1.0791,1.6013,-0.21258,0.70547,0.38276,0.065398
MSH4,0.80648,1.6109,1.9688,0.89439,0.74301,2.1195e-18
PLEKHJ1,-0.24204,1.6005,-0.34119,1.0753,0.38293,0.065312
IL1RL2,0.43618,1.6061,-1.7135,0.93193,0.68661,3.537e-11
SAR1B,0.81398,1.5996,0.32402,0.7782,0.50112,0.002315
PNLIP,0.4426,1.6009,-0.79189,0.9223,0.65141,1.604e-08
LGALS9,0.91159,1.6002,0.10529,0.82398,0.59753,6.548e-06
COMMD6,-0.68732,1.5995,-0.74329,1.2704,0.31499,0.17236
TXNRD2,0.63646,1.6007,-0.60134,0.90118,0.68746,3.4688e-11
CHRNE,-0.85049,1.5995,-2.9182,1.1345,0.65991,4.7293e-09
TCTN2,0.23716,1.6025,-0.65501,0.96576,0.71799,1.8379e-14
PARP2,0.48963,1.6019,1.397,0.92255,0.70891,2.3289e-13
SLC22A6,0.58264,1.5963,0.23998,0.91042,0.64326,5.3222e-08
ITGB2,0.76995,1.6017,-1.8301,0.90253,0.72237,5.0817e-15
PRSS50,0.6564,1.5975,-0.30537,0.88197,0.54857,0.0002253
CEP95,-0.70559,1.6094,0.029848,1.0982,0.74942,1.4612000000000002e-19
ARHGEF26,-1.0188,1.6047,-2.7961,1.134,0.71768,1.8567e-14
PKD2L2,1.1828,1.6051,1.1708,0.80911,0.71313,6.6526e-14
PKDCC,-0.29313,1.5971,-0.33348,1.0555,0.58362,2.1316e-05
TRIM22,0.13407,1.597,-0.09096,0.9767,0.58364,2.1312e-05
CATSPER1,0.65068,1.6026,0.40929,0.91551,0.69304,1.008e-11
UBE3D,0.28441,1.5991,-0.45529,0.94444,0.62241,5.9771e-07
LACTB,1.2602,1.5979,1.4326,0.78203,0.61092,1.975e-06
RAD18,-0.13542,1.5955,-0.39354,1.0236,0.65233,1.5787e-08
C6orf163,1.3255,1.5952,1.9373,0.70638,0.52745,0.00072068
LSM4,1.6007,1.5954,-0.37375,0.53105,0.43333,0.022117
PPP1R3B,-1.1086,1.5978,-0.86923,1.2476,0.3835,0.065025
CIR1,1.0388,1.5953,-0.90939,0.80407,0.64345,5.3057e-08
MAPK12,-0.46627,1.5925,-1.5982,1.0895,0.62361,5.8734e-07
GBP2,0.10683,1.5957,-0.1123,0.98312,0.67534,4.0322e-10
AXDND1,-0.29784,1.607,0.14525,1.0376,0.77702,4.3136999999999997e-26
C1QTNF4,1.6472,1.5992,1.1385,0.67661,0.31505,0.17229
CD53,0.81032,1.5956,-0.45288,0.79278,0.50196,0.0022961
IFT80,1.5119,1.6036,-0.27553,0.78876,0.75019,1.4059000000000002e-19
SCO1,-0.19649,1.5936,-0.53635,1.0424,0.54935,0.00022337
RGN,-0.91289,1.5956,0.19035,1.2439,0.4333,0.022123
TPPP3,0.8777,1.5981,0.74389,0.77023,0.20989,0.37331
CHTF8,0.29122,1.5979,0.33334,0.90339,0.20992,0.37324
CD180,0.19383,1.5903,-0.30273,0.97055,0.56863,6.842e-05
ZNF212,0.60501,1.5918,0.011803,0.90002,0.61205,1.9444e-06
DCAKD,0.33339,1.5964,-0.080556,0.92743,0.3838,0.064871
DCDC2C,1.0252,1.5927,0.77473,0.74107,0.52797,0.00071676
NUTM2D,0.097384,1.5976,-0.14627,0.96466,0.20997,0.37313
TLR4,0.64657,1.5915,0.38138,0.91081,0.66127,4.6131e-09
PM20D2,0.97906,1.5898,0.91459,0.81034,0.56873,6.8342e-05
MYO3B,0.10945,1.6083,-0.66155,0.98863,0.80531,2.0329e-36
ZNF264,-0.28102,1.5895,-1.8681,1.0427,0.62415,5.8267e-07
ZNF268,0.43745,1.5942,0.34651,0.9432,0.71475,6.3323e-14
C6,-0.87721,1.5934,-2.8278,1.1126,0.76258,5.8646e-22
MUC4,-18.875,1.6098,-20.511,2.0267,0.83536,2.7904000000000004e-54
IQUB,-0.1022,1.5894,0.080216,1.0144,0.71992,1.7274e-14
BFAR,0.069743,1.5881,0.26154,0.98733,0.65361,1.5442e-08
WDR34,-0.12221,1.5866,-1.9845,1.0193,0.63528,1.7342e-07
CRAT,0.8516,1.5864,0.57833,0.88048,0.69558,9.4796e-12
FBP2,0.19041,1.5894,0.03457,0.96291,0.5502,0.00022129
PLEKHB1,0.41161,1.5894,0.23186,0.90921,0.55019,0.00022133
SLC15A4,1.0072,1.5889,-0.30467,0.8301,0.6126,1.9296e-06
KIAA0319,0.46181,1.5891,1.4578,0.94689,0.75503,3.3234e-20
PPP1R1A,0.97749,1.5899,-0.62823,0.71391,0.43452,0.021894
LPCAT2,2.0144,1.5818,-0.8287,0.66401,0.68426,1.1195e-10
PREPL,-2.4962,1.584,-2.2347,1.3518,0.71161,2.1551e-13
CCDC73,0.88127,1.586,-0.0914,0.88844,0.74954,4.7746e-19
GTF2H2C,0.85269,1.5897,1.1983,0.71096,0.43456,0.021887
LPXN,0.39552,1.5846,0.12366,0.92397,0.61338,1.9089e-06
NADK,1.8779,1.5841,0.12561,0.72891,0.68389,1.1284e-10
MMADHC,-0.41304,1.585,-0.24639,1.0938,0.58596,2.071e-05
SNAP47,-0.13022,1.5845,0.69067,1.0224,0.58605,2.0687e-05
ISCA1,0.78379,1.5932,0.46173,0.72589,0.31628,0.17085
WDFY2,1.0366,1.5827,-0.66476,0.81004,0.65454,1.5198e-08
CLCN1,0.21191,1.5859,-0.42506,0.97441,0.75546,3.2501e-20
SLC7A8,0.17408,1.5819,0.47616,0.97207,0.64579,5.1068e-08
SEC11A,1.5822,1.5865,0.43859,0.54747,0.50386,0.0022542
USE1,0.51565,1.5851,0.4979,0.88347,0.58595,2.0712e-05
MARC2,0.4315,1.5854,-0.066197,0.90565,0.551,0.00021936
BRAT1,-0.59315,1.5776,-1.6697,1.075,0.70766,7.4316e-13
DAGLB,-1.2797,1.5783,-1.7796,1.1776,0.70236,2.6256e-12
MIS18A,-0.12448,1.5854,-0.38184,1.0312,0.47349,0.0070702
NRM,1.2392,1.5882,1.5239,0.71605,0.43488,0.021828
CEP70,-0.039744,1.5797,-0.092803,1.0067,0.72558,4.5554e-15
SBSN,0.58823,1.5803,-0.46285,0.9086,0.60128,6.2352e-06
CEBPE,0.23341,1.5859,-0.70492,0.95223,0.47339,0.0070769
FBXO39,-0.055936,1.5834,1.285,1.01,0.56999,6.7347e-05
ZNF879,1.606,1.5789,1.1559,0.72915,0.62608,5.6652e-07
ALDH3B1,0.95892,1.5809,-0.10738,0.84579,0.60117,6.2437e-06
OSGEPL1,0.79217,1.5834,1.2083,0.84549,0.56999,6.7346e-05
CST6,1.2506,1.5943,-0.085683,0.63248,0.21055,0.37188
GHDC,0.88407,1.5788,0.76009,0.85481,0.66342,4.4358e-09
CARD14,0.60755,1.5806,-1.3947,0.93126,0.75327,1.2051e-19
ASPHD1,1.2949,1.5838,1.4448,0.76504,0.50443,0.0022416
CHRNB1,0.43814,1.5777,-0.19137,0.92721,0.64653,5.0456e-08
WTIP,0.60631,1.5793,-0.33752,0.86013,0.57079,6.6719e-05
GCSAM,0.49105,1.5886,-0.27529,0.85939,0.38549,0.06403
DCTN5,1.6911,1.5841,1.1832,0.53777,0.47379,0.0070514
CNIH4,0.23058,1.5853,-0.73378,0.92435,0.43551,0.021712
CRYBB1,0.35123,1.582,-0.072684,0.92393,0.53017,0.00070069
CD1D,-0.60407,1.5788,-0.84006,1.1257,0.61447,1.8805e-06
OLFML2A,-0.3605,1.5753,0.72141,1.0494,0.67163,1.2885e-09
SYDE2,0.78709,1.5683,1.2196,0.90839,0.74224,2.3083e-17
KLK5,0.28699,1.5814,0.57824,0.93925,0.47436,0.0070149
SAAL1,0.37258,1.5706,0.20478,0.93236,0.66482,4.3242e-09
TMCO6,0.42996,1.5714,0.17883,0.92621,0.67228,1.2724e-09
TRPT1,0.55137,1.5792,0.48932,0.8724,0.50539,0.0022209
AKR1B1,0.40479,1.5749,-0.21364,0.91313,0.58792,2.0216e-05
ASMTL,-0.60919,1.5709,-1.3289,1.0847,0.67236,1.2704e-09
FBXO2,0.091199,1.5769,0.3416,0.98016,0.55272,0.00021527
CCL2,1.1904,1.5924,-0.21218,0.54204,0.0,0.60786
RFK,0.49278,1.5869,-0.53336,0.84641,0.38585,0.063854
MMEL1,0.12602,1.5689,0.09654,0.98394,0.76824,1.2441e-22
RAB8B,1.9805,1.578,0.21443,0.47332,0.53098,0.00069486
CCDC141,-0.035363,1.5685,0.51555,1.0036,0.80258,1.5924e-33
R3HCC1L,-0.73573,1.5691,-1.4921,1.1021,0.67266,1.2632e-09
LRRC34,0.18332,1.5691,0.60851,0.96619,0.62787,5.5187e-07
HADH,0.52847,1.5722,-0.34987,0.8901,0.5722,6.5638e-05
CPED1,0.0012496,1.5602,-1.1325,0.99985,0.77635,1.8689e-24
MRPS9,0.20794,1.5688,0.63144,0.96005,0.67271,1.262e-09
SYCP2L,0.89833,1.563,0.2918,0.87486,0.77141,3.0126999999999997e-23
TMEM68,1.2549,1.5795,0.17007,0.69743,0.47476,0.0069895
STK32B,-0.98433,1.5684,-2.2,1.1778,0.64818,4.9116e-08
SEPHS2,1.7639,1.5789,1.513,0.69495,0.50546,0.0022195
LIPA,0.22832,1.57,-1.3811,0.95612,0.62771,5.532e-07
KIAA1614,0.53367,1.5644,0.76637,0.94298,0.73182,1.1531e-15
RNF217,1.3139,1.5741,-0.56545,0.69359,0.58807,2.0177e-05
MED6,0.95549,1.5745,0.93283,0.76278,0.57175,6.5981e-05
RPLP1,0.10934,1.5903,-0.65754,0.96041,0.21124,0.37039
TTC30A,-0.61275,1.565,-1.3234,1.0931,0.62862,5.4588e-07
DDX51,-1.4114,1.5615,-5.1517,1.2143,0.69952,8.6133e-12
CHAD,0.67526,1.5786,2.1357,0.87608,0.47497,0.0069766
TMPRSS11F,0.38795,1.563,-0.44808,0.92778,0.67369,1.2382e-09
EXD3,0.041203,1.5558,0.32832,0.995,0.73687,2.9843e-16
TRPM5,0.083574,1.556,-1.1593,0.99128,0.76742,4.4415e-22
GJA8,-0.19891,1.5757,-1.5675,1.0347,0.50614,0.002205
CAPN10,1.1678,1.5607,-0.69694,0.84054,0.71026,6.9206e-13
B3GALNT1,0.74887,1.5766,-0.25038,0.83964,0.50595,0.002209
USB1,0.19194,1.5727,-0.82346,0.95643,0.53209,0.000687
TAF1A,1.0019,1.5622,0.12725,0.81354,0.67382,1.235e-09
NRAP,-0.16985,1.554,-0.041733,1.0152,0.83478,3.2576999999999996e-50
RAB34,1.0785,1.5631,1.0926,0.77215,0.62897,5.4311e-07
FAM71F2,-0.16766,1.5776,-0.58992,1.0374,0.43718,0.021409
DNAAF1,-1.9871,1.5571,-1.7406,1.2826,0.70022,8.4672e-12
P2RY4,-0.31675,1.5841,0.6005,1.0699,0.31817,0.1687
DNAJC18,1.3339,1.562,-0.35943,0.73152,0.64931,4.8219e-08
SLC10A7,1.3382,1.5653,0.26172,0.71517,0.58977,1.9761e-05
OR2A7,1.0059,1.5882,1.1113,0.76027,0.21161,0.36959
SLCO4A1,0.43028,1.559,-1.0938,0.94373,0.68797,1.0328e-10
GAP43,-0.067916,1.5789,-0.1003,1.0155,0.4369,0.021461
TMEM53,1.007,1.5771,0.8343,0.79324,0.43728,0.021392
ZNF75A,0.0062365,1.5738,-0.73762,0.99859,0.50653,0.0021966
ARL2,1.0502,1.5778,-0.42178,0.72258,0.43714,0.021417
ZNF3,1.3074,1.5668,0.1991,0.76634,0.58948,1.9833e-05
SPAG7,0.87594,1.5712,-1.7713,0.78841,0.53239,0.0006849
SPSB2,-0.61007,1.5766,-0.22261,1.1397,0.4374,0.02137
ACOT8,0.12376,1.5625,0.086021,0.97531,0.60467,5.9662e-06
ZNF615,-0.12901,1.5543,0.24252,1.0184,0.70066,8.376e-12
BPGM,0.70349,1.5751,0.73199,0.83792,0.43772,0.021313
LY6H,0.60555,1.5823,-0.17933,0.81236,0.31854,0.16827
SH3BGR,0.44227,1.5707,0.047491,0.89003,0.50718,0.0021831
SRP19,0.25717,1.5729,-0.62583,0.91881,0.47617,0.0069014
TYSND1,0.97525,1.5692,2.7454,0.83723,0.53281,0.00068197
GSAP,0.5282,1.5414,0.95674,0.92742,0.77417,2.5479e-23
PLEKHG6,0.00060687,1.5478,-0.67988,0.99992,0.75472,3.7173000000000005e-19
ZNF804B,-0.75059,1.5461,-1.7193,1.0815,0.74869,5.3504e-18
ACER1,0.45099,1.5679,-0.55484,0.90066,0.50778,0.0021705
SLCO6A1,0.51126,1.5501,0.35608,0.9265,0.69556,2.8807e-11
SIGIRR,-0.048525,1.56,-1.4891,1.0088,0.60515,5.9288e-06
FBXW9,0.62159,1.5525,0.65426,0.89706,0.66792,4.086e-09
CORO2A,0.75467,1.5492,0.28727,0.88187,0.68302,3.4457e-10
CRYBA1,0.62623,1.5618,-0.56313,0.84485,0.57427,6.4088e-05
CNDP1,0.41781,1.5491,-0.40472,0.93341,0.67602,1.1834e-09
CXCL10,0.335,1.5856,0.58838,0.869,0.21205,0.36865
APOOL,0.25874,1.573,-0.62663,0.92184,0.43817,0.021234
TC2N,0.19199,1.5503,-0.83128,0.96573,0.67583,1.1879e-09
RGS20,1.1375,1.5613,0.053496,0.78108,0.57437,6.4013e-05
PRSS23,0.47039,1.558,-0.038635,0.91068,0.59119,1.9421e-05
UBALD2,1.7214,1.5844,-0.23632,0.48536,0.21226,0.3682
CLMP,0.58254,1.5511,0.21637,0.88594,0.64165,1.5718e-07
C2orf16,0.31799,1.5376,-1.243,0.97195,0.72762,1.3435e-14
CDRT1,0.65733,1.5422,0.81751,0.9087,0.72255,4.9801e-14
SMIM23,1.1162,1.5679,0.97801,0.6517,0.47725,0.0068348
NKX6-1,1.0755,1.5759,-0.4113,0.72783,0.38822,0.062705
CAB39L,0.63758,1.5604,0.5488,0.86384,0.57454,6.3887e-05
UTP3,1.1547,1.557,-0.42925,0.79646,0.59139,1.9374e-05
ZNF235,0.69259,1.5434,0.13097,0.90111,0.68398,3.3787e-10
ATP6V0A4,0.85465,1.5266,0.080722,0.88781,0.76337,2.1504e-20
CBLN4,1.962,1.578,0.39619,0.50008,0.31944,0.16726
CD59,-0.045142,1.5865,-0.29305,1.0156,0.0,0.60568
RXFP2,0.89449,1.5357,0.23427,0.87335,0.73598,9.8971e-16
